Hotel_Name,Hotel_Rating,City,Hotel_Price,Place_ID,Photo_Reference
"The Taj Mahal Palace, Mumbai",4.7,mumbai,33021,ChIJ____b8DR5zsRVz_XpIUEKcA,AdDdOWr3HkKbMNw2FgJEzIgzTebhVDszHxDZTo9kIZ10c_EcN-tJAPFUWRl1HidIHnvgTi_mqxz6DLLX-zwj1ma5viRfa20WVw0Yo3PTtDjVCHTTogarkl_lnlF1spBH3OHSFZ6II7F5TSPucUBPjt9yAY6Cg1JuTXtIIz470fCHzY7FajHz
Grand Hyatt Mumbai Hotel & Residences,4.5,mumbai,14025,ChIJicI_AALJ5zsRrMFrgB6LMEA,AdDdOWqIax6qBVdEjjDsLx257Bg_8OXgajh5xPYmOanUNDKt5cvfJERYCWDepWugRPPAcjXPyZgzeBJpfDODJFcSocVQMA1fJob137GWYfQiz5FjatL0RVv2waLZpDhFWuvUHOmBRAeU3locs3QwLg9Bp_PqRPrP2b9mA30YvGnk2fNAcb3Q
Shahana Guest House,3.1,mumbai,635,ChIJ2X2HJRfI5zsR2JjzHC6yVig,AdDdOWqAytSNesk8UVF3lOkZUIh_R21j9DYLZ0yVjR3LU899xHFiWmdRimzHYTWFSPX-7_ETSDm3p3CuTu7Vao4wfBXoidbHO0eTZTm2rMycVnchZ7953A_Nnl-S7cRwJOciQ0SWLMOZtLDuf1-8NpTbv-rEnC9ZfnSUpbXbAsqp2WVDqgR7
SAINA RESORT,3.6,mumbai,5082,ChIJmxALk9215zsRs64oKv2KYSA,AdDdOWqeUyNau5TsSBvQLrxaACEgE8HI1Pu2_m3G060JA0ZVyzJwLAnNHpeXWLCfRZ81wbE2T0hbZW5Zu3rxXT0jjj99TwraZakAxzrkVNjxxBH998P0J-GYqKc-AK2Cqzwa3ZzgfJR7rFE2WX8cNeBPZon2EksnzfXQW7fkn7UXyTsQZ4Mn
Stay Villa Dormitory (for Male and Female),5.0,mumbai,952,ChIJWfLuox235zsR2zFJ7HnVov4,AdDdOWpJ-ZOql_sv0UAat_ckZ3arfHHymflWLyUZHzfpWuQwhhwd-yYh0fl3mncnlnN7gyqpYfXP9VvJ9USeCBRTZqc3amzlJQYdosDI30x7jcqyueBSegMj5PVjbreCpA26doE8rgjdCCg-yHIiKHLw1r7HCQqwmmBYb8psonHS0tTDNZ8B
Hotel Milan International,3.9,mumbai,1389,ChIJPTiqtOjJ5zsRmKj7yM8uqHc,AdDdOWqQQVQxZrycJovqt-_5qJ2J8OgmMgSik_zOfsgW7SrqGchAIBWT8IkjLnaVax-M7H7D2v4eLx28HevzxldhkD_ZVmHOdPawqlPiqDGfJ2oaIouV8wUfwsAiZSb6mfxorquLbVwUErp-qQFYb7weYZ5gkOCltY-oGlzHEAbE89uLf2Ja
Gagal Home BKC Suite | Rooms & Caretaker,3.7,mumbai,4208,ChIJuyZiDRjJ5zsRqoltZQXxkQ0,AdDdOWo6bPxSuMyIjBveVGg3FUGQIPf9ksARcdoE2OWQmdGbOYCJB1KunPbJpF6usbouJy7Wj9azd9rD5hDEPWsS7AAHKjjE4SCm5YqYVOdmosm0OHvcJsVqJ6UqFlneXgBOGRXvjwisc_3BBzQO2d7wLkL7I3aQ7D9i0osS90jYLj3-6jdB
Qubestay Airport Capsule Hotel And Hostel,4.1,mumbai,1334,ChIJnfQB2afJ5zsRESq5q7dfA8c,AdDdOWoPUMTk9IFd9Z5_FCrFFfXBtpzEHWYtOhkQSRd0krKw_LQt0fQT3cD4VHJJD2vgx_RobFPoKzM58FG8mES5WFeBt_KjldDryS3Kf-yFu2tXmSt1njg1Vy52xXfOj3v6Y98rQNIE_eotghdks4IeRjXlXuwEd9llAgxY6bRqobwS9uEy
"Ginger Mumbai, Goregaon",4.0,mumbai,4031,ChIJAULI3iW35zsRnoypdZv1nz0,AdDdOWqj9naS7cS7LlgkUFwPEZD3vEpWiVfxfHg_XgHjxRbKiH6QQjYHdRWVX6_Ytynul2VetJlY71h45RphPmjfU8AmAiNa9cW1tJSv9IEsWnVkGUdGeFMCD_jS2UAPOHHaR65pVKjSmBnLEWdw6r-_oFrl6kwV64zpaxsEJqcMTsU3dmmW
The Lalit Mumbai,4.4,mumbai,11101,ChIJWYnyhWrI5zsRh1tnwbNIHis,AdDdOWpXcQQBvYaKeaE00HmmDFXvZ67pVQAKzAkA4_j6kPbB7CEf-QNDqCEtW7VsNQScqSqCZ3x5kkNV2G36BjTYUO4jyzHA6fIuPr90ZSC7mFfuNiYvdTlqclE86qTvsKJxFLNn5gXep0Iew0RItDEzcVfAlOh22E4W7OTkLB5TXJ6_yCqT
