Name,Location,Locality,City,Rating,Cost
Qbic Cafe,"East Patel Nagar, West Delhi", West Delhi,Delhi,4.3,1200
1 Oak Cafe & Bar,"Defence Colony, South Delhi", South Delhi,Delhi,4.2,1600
Zaika Foods,"Daryaganj, Central Delhi", Central Delhi,Delhi,4.0,500
The Chatter House,"Khan Market, Central Delhi", Central Delhi,Delhi,4.2,2600
Dilli Gate,"Daryaganj, Central Delhi", Central Delhi,Delhi,4.5,600
Imly,"Apsara Arcade Mall,Karol Bagh, Central Delhi", Central Delhi,Delhi,3.8,800
Ichiban,"Pandara Road, Central Delhi", Central Delhi,Delhi,4.5,800
Talli Station,"Rajendra Bhawan,Rajendra Place, West Delhi", West Delhi,Delhi,4.1,1500
Sly Granny,"Khan Market, Central Delhi", Central Delhi,Delhi,4.5,2500
Naivedyam,"East Patel Nagar, West Delhi", West Delhi,Delhi,4.3,500
Lanterns Kitchen & Bar,"Rajendra Bhawan,Rajendra Place, West Delhi", West Delhi,Delhi,4.2,1600
Gola Sizzlers,"Khan Market, Central Delhi", Central Delhi,Delhi,4.0,1200
Out Of The Box,"Khan Market, Central Delhi", Central Delhi,Delhi,4.1,2000
Wok in the Clouds,"Khan Market, Central Delhi", Central Delhi,Delhi,4.3,2200
MGM Club,"MGM Residency 19,Daryaganj, Central Delhi", Central Delhi,Delhi,4.4,1800
Sandoz,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,4.3,1000
Molecule Air Bar,"Green Park, South Delhi", South Delhi,Delhi,4.2,1500
Spezia Bistro,"Hudson Lane, North Delhi", North Delhi,Delhi,4.5,1200
Clue,"Punjabi Bagh, West Delhi", West Delhi,Delhi,3.9,1500
Thalassery Restaurant,"Rajinder Nagar, West Delhi", West Delhi,Delhi,5.0,800
Anglow,"Khan Market, Central Delhi", Central Delhi,Delhi,4.3,2200
Yellow Brick Road,"Ambassador,Khan Market, Central Delhi", Central Delhi,Delhi,4.4,3500
Suruchi,"Karol Bagh, Central Delhi", Central Delhi,Delhi,4.2,800
Sevilla,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,4.5,5000
Sandoz,"Lajpat Nagar - 3, South Delhi", South Delhi,Delhi,4.3,1000
Aura,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,4.7,4000
BFF (Beer Food Feast) Restro Bar,"Karol Bagh, Central Delhi", Central Delhi,Delhi,4.1,2000
La Vie Pizzeria,"Khan Market, Central Delhi", Central Delhi,Delhi,4.3,1500
Punjab Grill,"Khan Market, Central Delhi", Central Delhi,Delhi,4.1,2200
Castle Barbeque,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,4.0,2000
Lazeez Affaire,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,4.4,2600
Gola Sizzlers,"Preet Vihar, East Delhi", East Delhi,Delhi,4.2,1200
Socia L Affaire,"Karol Bagh, Central Delhi", Central Delhi,Delhi,3.6,1500
Jade,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,4.0,2500
Lazy Bear,"Hudson Lane, North Delhi", North Delhi,Delhi,4.1,1100
Local heights,"Punjabi Bagh, West Delhi", West Delhi,Delhi,3.8,800
Kaarobaar,"Rajinder Nagar, West Delhi", West Delhi,Delhi,3.9,900
SAZ,"Sundar Nagar, Central Delhi", Central Delhi,Delhi,4.2,3000
The Waffle Co.,"Rajinder Nagar, West Delhi", West Delhi,Delhi,5.0,400
Qubitos - The Terrace Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,4.1,1500
Bell Pepperz,"Community Centre,Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,4.4,1200
736 AD Cafe & Bar,"Vijay Nagar, North Delhi", North Delhi,Delhi,4.2,1500
Jamun,"Lodhi Colony, South Delhi", South Delhi,Delhi,4.4,3000
Ping's Cafe Orient,"Lodhi Colony, South Delhi", South Delhi,Delhi,4.4,2100
