Name,Location,Locality,City,Rating,Cost
Khana Khazana,"Charni Road, South Mumbai", South Mumbai,Mumbai,4.7,500
Happiness Deli,"Crescent House,Grant Road, South Mumbai", South Mumbai,Mumbai,3.9,500
Rising Cafe & Diner,"Charni Road, South Mumbai", South Mumbai,Mumbai,4.3,1500
Wowfillss,"Charni Road, South Mumbai", South Mumbai,Mumbai,4.5,500
Ustaadi,"Sitaram Building,Mumbai CST Area, South Mumbai", South Mumbai,Mumbai,4.4,1300
Some Place Nice,"Poonam Sagar Complex,Mira Road, North Western", North Western,Mumbai,2.1,1800
New Food Junxion,"Mira Road, North Western", North Western,Mumbai,4.4,500
Ikka,"Pallavi Avida,Kalamboli, Navi Mumbai", Navi Mumbai,Mumbai,4.2,1000
The Back Bencherz,"Mira Road, North Western", North Western,Mumbai,3.8,1800
Pancharatna Restaurant & Bar,"Surya Kalyani Mansion Building,Marine Lines, South Mumbai", South Mumbai,Mumbai,4.3,1500
Pizza Burst,"Beverly Park,Mira Road, North Western", North Western,Mumbai,4.4,600
GO69 Pizza,"Mira Road East, North Western", North Western,Mumbai,4.5,600
Foo Town,"Nagin Mahal,Churchgate, South Mumbai", South Mumbai,Mumbai,4.7,2000
The Nutcracker,"Modern House,Fort, South Mumbai", South Mumbai,Mumbai,4.6,1200
The Clearing House,"Fort, South Mumbai", South Mumbai,Mumbai,4.5,3000
Social,"Glen Rose Building,Colaba, South Mumbai", South Mumbai,Mumbai,4.4,2000
Express Tadka,"Venkat Presidency Hotel,Panvel, Navi Mumbai", Navi Mumbai,Mumbai,3.6,1500
The Goose and Gridiron,"Fort, South Mumbai", South Mumbai,Mumbai,3.9,1800
Prasad Food Divine,"Dombivli East, Dombivali", Dombivali,Mumbai,4.4,800
Lalit Fine Dine,"Topiwala Building,Goregaon West, North Western", North Western,Mumbai,4.1,1200
99 Pancakes,"Charni Road, South Mumbai", South Mumbai,Mumbai,1.3,500
The Mumbai Masala,"Fort, South Mumbai", South Mumbai,Mumbai,4.5,500
Kokani Katta,"Mira Road, North Western", North Western,Mumbai,3.9,1000
Mocambo Cafe,"Fort, South Mumbai", South Mumbai,Mumbai,4.3,1600
Pratap Lunch Home,"Fort, South Mumbai", South Mumbai,Mumbai,4.5,900
Pritam's Dhaba,"Vasai East, North Western", North Western,Mumbai,4.0,1700
L&S Bistro,"InterContinental,Nariman Point, South Mumbai", South Mumbai,Mumbai,4.5,3000
PizzaExpress,"Dhanraj Mahal,Colaba, South Mumbai", South Mumbai,Mumbai,4.5,1800
The Lantern Bar at Kandeel,"Fort, South Mumbai", South Mumbai,Mumbai,3.9,1500
Bollywood Canteen,"Dombivli East, Dombivali", Dombivali,Mumbai,4.2,800
Desi Curry,"Fort, South Mumbai", South Mumbai,Mumbai,4.3,800
Mitron,"Fort, South Mumbai", South Mumbai,Mumbai,4.1,1500
Zaika Restaurant,"Bhayandar West, North Western", North Western,Mumbai,4.5,800
Spices & Flavours,"Rajabahadur Mansion,Fort, South Mumbai", South Mumbai,Mumbai,4.3,1500
The Bar Terminal,"Rajabahadur Mansion,Fort, South Mumbai", South Mumbai,Mumbai,4.2,1200
Tibbs Frankie,"Surya Mahal,Fort, South Mumbai", South Mumbai,Mumbai,4.5,200
Rue Du Liban,"Fort, South Mumbai", South Mumbai,Mumbai,4.5,3000
Punjab Grill,"Fort, South Mumbai", South Mumbai,Mumbai,4.3,3000
Bake House Cafe,"Ola Bake House,Fort, South Mumbai", South Mumbai,Mumbai,4.5,1500
The Bayview,"Hotel Marine Plaza,Marine Lines, South Mumbai", South Mumbai,Mumbai,4.4,3000
The Oriental Blossom,"Hotel Marine Plaza,Marine Lines, South Mumbai", South Mumbai,Mumbai,4.6,3500
Wowfillss,"Bhayandar West, North Western", North Western,Mumbai,4.1,500
The London Shakes,"Dombivli East, Dombivali", Dombivali,Mumbai,3.3,400
99 Pancakes,"Sukh Sagar Building,Girgaum, South Mumbai", South Mumbai,Mumbai,1.0,500
Effingut,"Dhanraj Mahal,Colaba, South Mumbai", South Mumbai,Mumbai,4.5,1500
Nara,"Colaba, South Mumbai", South Mumbai,Mumbai,4.6,2500
Jia - The Oriental Kitchen,"Dhanraj Mahal,Colaba, South Mumbai", South Mumbai,Mumbai,4.5,2500
Sassy Teaspoon,"Express Towers,Nariman Point, South Mumbai", South Mumbai,Mumbai,4.5,400
All Stir Fry,"The Gordon House Hotel,Colaba, South Mumbai", South Mumbai,Mumbai,4.4,2700
Tibbs Frankie,"CR2 Mall,Nariman Point, South Mumbai", South Mumbai,Mumbai,5.0,300
The Sassy Spoon,"Express Towers,Nariman Point, South Mumbai", South Mumbai,Mumbai,4.3,2000
Tankstelle Bistro,"Dombivli East, Dombivali", Dombivali,Mumbai,3.9,900
99 Pancakes,"Commerce House,Fort, South Mumbai", South Mumbai,Mumbai,2.8,500
Bayview Cafe,"Hotel Harbour View,Colaba, South Mumbai", South Mumbai,Mumbai,4.0,2000
Bayroute,"Minoo Manor Building,Cuffe Parade, South Mumbai", South Mumbai,Mumbai,4.5,3000
Tamarind,"Fariyas Hotel,Colaba, South Mumbai", South Mumbai,Mumbai,4.3,2000
Sizzling China,"Meherzin Building,Colaba, South Mumbai", South Mumbai,Mumbai,4.4,1200
Tibbs Frankie,"Cuffe Parade, South Mumbai", South Mumbai,Mumbai,5.0,500
Easyhuman Cafe,"Park House,Colaba, South Mumbai", South Mumbai,Mumbai,4.0,1200
Hammer & Song,"World Trade Centre,Cuffe Parade, South Mumbai", South Mumbai,Mumbai,4.7,2800
Flamboyante,"World Trade Centre,Cuffe Parade, South Mumbai", South Mumbai,Mumbai,4.6,2000
Sky Dhaba,"Kalyan West, Dombivali", Dombivali,Mumbai,3.3,1100
Wah! Malwan,"Kalyan West, Dombivali", Dombivali,Mumbai,3.3,1200
Prasad Food Divine,"Kalyan East, Dombivali", Dombivali,Mumbai,4.4,800
Farmhouse Sea N Sand,"Vasai West, North Western", North Western,Mumbai,4.1,1200
Farmhouse Garden Family Restaurant & Bar,"Vasai West, North Western", North Western,Mumbai,4.4,1000
Prasad Food Divine,"Vegas Residency,Kalyan West, Dombivali", Dombivali,Mumbai,4.4,800
WOW Cafe,"Kalyan West, Dombivali", Dombivali,Mumbai,4.2,900
Big Little Bombaye,"Vasai West, North Western", North Western,Mumbai,4.6,900
The Post Office Bistro Bar,"Solitaire Castle,Vasai West, North Western", North Western,Mumbai,3.9,1000
Vasai Republic,"Vasai West, North Western", North Western,Mumbai,4.1,1200
Tequila N Spices,"Ulhasnagar, Dombivali", Dombivali,Mumbai,2.5,1000
Bistro Grill,"Kalyan East, Dombivali", Dombivali,Mumbai,3.0,700
Gold Coin Restaurant,"Vasai West, North Western", North Western,Mumbai,4.5,1000
Wings On Fire,"Dattani Square Mall,Vasai West, North Western", North Western,Mumbai,5.0,1000
Kerala Cafe,"Vardan Apartment,Vasai West, North Western", North Western,Mumbai,4.2,800
Farmhouse Global Cuisine Restaurant,"Deep Jyot Building,Vasai West, North Western", North Western,Mumbai,4.5,1000
Dhuri Veg World,"Vasai West, North Western", North Western,Mumbai,4.3,1400
Urban Juice Cafe,"Vasai West, North Western", North Western,Mumbai,4.5,500
Urban Juice Cafe,"Vasai West, North Western", North Western,Mumbai,3.6,600
D Adda,"Ulhasnagar, Dombivali", Dombivali,Mumbai,3.1,1500
The Tandoor Rest-o-Bar,"Rudra Shelter International,Vasai East, North Western", North Western,Mumbai,4.5,1200
Farmhouse Funfiesta,"Nalasopara West, North Western", North Western,Mumbai,4.2,1000
Urban Tadka,"Kalyan West, Dombivali", Dombivali,Mumbai,4.5,1600
Farm View,"Virar West, North Western", North Western,Mumbai,4.0,1200
Fudboy Ocean Bar & Restaurant,"Virar West, North Western", North Western,Mumbai,4.1,1500
ABs - Absolute Barbecues,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,1200
Ohri's Jiva,"Begumpet, Secunderabad", Secunderabad,Hyderabad,4.1,1100
ABs - Absolute Barbecues,"Pammasani Complex,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.3,1200
Krishnapatnam,"Shreshta Aura,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.0,1600
Parampara - Flavours of india,"ANR Center,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.0,1000
By The Bay - Bar Exchange,"Khairatabad, Central Hyderabad", Central Hyderabad,Hyderabad,4.1,1600
A'La Liberty,"Leela Gopal Towers,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,800
Amogham - The Lake View Restaurant,"Khairatabad, Central Hyderabad", Central Hyderabad,Hyderabad,3.8,1000
Exotica,"12th Square Building,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,2800
Headquarters,"Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,1600
10 Downing Street,"Lifestyle Building,Begumpet, Secunderabad", Secunderabad,Hyderabad,4.4,2000
Jalpaan,"Oasis Centre,Begumpet, Secunderabad", Secunderabad,Hyderabad,4.1,1200
Pakka Local Signature,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,900
Verandah,"The Park,Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.0,3300
The Spicy Venue,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.2,1100
Bikanervala,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,1000
Cream Stone,"The Platinum Hotel,Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.1,400
Aqua,"The Park,Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,2800
Kismet,"The Park,Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,3300
One Fine Day,"Necklace Road, Secunderabad", Secunderabad,Hyderabad,5.0,300
Ohri's - Gufaa,"Basheerbagh, Central Hyderabad", Central Hyderabad,Hyderabad,4.1,1900
Cream Stone,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,400
Aish,"The Park,Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,2400
36 Downtown,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.3,2500
Spice 6 - The Arab Villagio,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,1200
Chili’s American Grill and Bar,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,1800
Seven Spices,"Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,900
Ice n Spice,"Hotel Inner Circle,Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,800
Barbeque Nation,"ANR Center,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,1400
Platform 65,"PNR Empire,Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,4.0,1200
Hashi Izakaya - Asian Bar & Kitchen,"Country Club Complex,Begumpet, Secunderabad", Secunderabad,Hyderabad,4.1,1500
Eagles Pizza,"Ohud Building,Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.9,600
Jewel Of Nizam,"The Golkonda Hotel,Masab Tank, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,2600
Rocket Fuel Cafe,"Somajiguda, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,800
Cream Stone,"SP Road, Secunderabad", Secunderabad,Hyderabad,4.3,400
ABs - Absolute Barbecues,"Inorbit Mall,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,4.4,1200
Taco Bell,"Next Galleria Mall,Panjagutta, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,500
Okra,"Hyderabad Marriott Hotel and Convention Centre,Tank Bund, Central Hyderabad", Central Hyderabad,Hyderabad,4.3,2500
Ohri's Eatmor,"White House,Begumpet, Secunderabad", Secunderabad,Hyderabad,4.2,800
Fonce,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.4,1000
Hard Rock Cafe,"GVK One Mall,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,2400
Taco Bell,"L and T Mall,Panjagutta, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,500
Chinese Pavilion,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,1400
NorFest - The Dhaba,"Next Galleria Mall,Panjagutta, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,800
Country Oven,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,5.0,800
IQ Bar,"Mercure Hyderabad KCP,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,2500
Cream Stone,"Khairatabad, Central Hyderabad", Central Hyderabad,Hyderabad,4.0,400
Rayalaseema Ruchulu,"Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,4.1,1200
Cayenne,"Mercure Hyderabad KCP,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.9,2000
Arena,"Taj Deccan Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,3000
Ohri's - Eatmor,"Ohri's Cuisine Court,Basheerbagh, Central Hyderabad", Central Hyderabad,Hyderabad,4.2,1100
Bidri,"Hyderabad Marriott Hotel and Convention Centre,Tank Bund, Central Hyderabad", Central Hyderabad,Hyderabad,4.5,3000
Tabla,"Bhaskar Plaza,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,1800
Saffron Soul,"Marigold Hotel,Begumpet, Secunderabad", Secunderabad,Hyderabad,4.3,1300
Viva,"Vivanta By Taj Hotel,Begumpet, Secunderabad", Secunderabad,Hyderabad,4.1,2300
Almond House,"Sanai Plaza,Begumpet, Secunderabad", Secunderabad,Hyderabad,5.0,500
Manu Bakers Delight,"Begumpet, Secunderabad", Secunderabad,Hyderabad,4.7,400
Up & Above,"SNS Arcade,PG Road, Secunderabad", Secunderabad,Hyderabad,4.0,1300
Masala Republic,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.0,1100
Huber and Holly,"Mayfair Building,Begumpet, Secunderabad", Secunderabad,Hyderabad,4.0,1000
Onesta,"ANR Center,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,900
Fishland Restaurant,"Hotel Savera,Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,700
Santosh Family Dhaba,"Kamala Towers,Begumpet, Secunderabad", Secunderabad,Hyderabad,5.0,800
Spice 6 - The Global Dining,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,1400
Encounters,"Taj Krishna Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,3000
Tortilla's,"Next Galleria Mall,Panjagutta, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.7,400
Tatva,"SP Road, Secunderabad", Secunderabad,Hyderabad,4.3,1500
Indulge Ice Cream,"Sanai Plaza,Begumpet, Secunderabad", Secunderabad,Hyderabad,5.0,300
Gappe Vappe,"Sanai Plaza,Begumpet, Secunderabad", Secunderabad,Hyderabad,5.0,500
Ohri's - Ming's Court,"Ohri's Cuisine Court,Basheerbagh, Central Hyderabad", Central Hyderabad,Hyderabad,4.4,1300
Golden Dragon,"Taj Krishna Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,3500
Curry Pot,"PG Road, Secunderabad", Secunderabad,Hyderabad,4.4,700
The Joint Bar & Cafe,"The Joint,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,700
Vivaha Bhojanambu,"CVK Park square,Kalasiguda, Secunderabad", Secunderabad,Hyderabad,4.1,1000
Aromas of Asia,"City Centre Mall,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,1500
Saudi Arabian Restaurant,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,700
Almond House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,5.0,500
Firdaus,"Taj Krishna Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,3100
Sanjos Donuts,"GVK One Mall,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.9,400
Heart Cup Coffee,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.1,2000
Air Live,"Odyssey Mall,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.0,2100
Indulge Ice Cream,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,5.0,300
Altitude Lounge Bar,"Hyderabad Marriott Hotel and Convention Centre,Tank Bund, Central Hyderabad", Central Hyderabad,Hyderabad,4.1,3000
Subway,"Mayfair Complex,SP Road, Secunderabad", Secunderabad,Hyderabad,3.8,400
Clove - The Platinum Hotel,"The Platinum Hotel,Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.1,800
Apsara Ice Creams,"Begumpet, Secunderabad", Secunderabad,Hyderabad,4.0,300
Insomnia,"Jaya Chambers,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.1,2300
Cuiscent,"Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,4.0,1000
Express By AB's,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.8,600
Cheesiaano Pizza,"PG Road, Secunderabad", Secunderabad,Hyderabad,4.0,500
"Haiku,The Asian Kitchen","Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,1500
Ohris Eatmor,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.0,1200
Ocean's Basket,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,1600
Sync Restro Bar,"Best Western Ashoka,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,4.3,1600
Bar 41,"Radisson Blu Plaza Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.6,2400
Touch of Class,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,3.9,1000
Ghrelin Cafe and Patisserie,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.4,600
Huber and Holly,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.4,1000
Chill & Terrace,"Radisson Blu Plaza Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.0,2400
Telangana Spice Kitchen,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.2,1500
High Spirits Bar,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,3.8,1100
Cups & Plates,"Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,3.7,1000
A Bleu Basil,"Far East Plaza,Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.1,1000
Ohri's - Silver Metro,"Ohri's Cuisine Court,Basheerbagh, Central Hyderabad", Central Hyderabad,Hyderabad,4.3,1100
Biryanis And More,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,1000
ABs - Absolute Barbecues,"Apurupa Silpi,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,4.4,1200
Level Lounge,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,3.8,1500
Mid Land Bakers & Confectioners,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.1,400
Bikanervala,"Basheerbagh, Central Hyderabad", Central Hyderabad,Hyderabad,4.2,1000
Lobby Lounge,"Taj Banjara Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,3000
Waterside Cafe,"Taj Banjara Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.8,3000
Cassia,"Hampshire Plaza Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,3.5,1000
Eagle Restaurant & Bar,"Shree Venkateshwara Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,3.6,1400
Kebab E Bahar,"Taj Banjara Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.0,3200
Amantran,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,3.4,300
So. The Sky Kitchen,"Aryan's Building,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.1,1800
Hydrate - The Bar,"Hampshire Plaza Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,3.1,1500
Lazeez Khaana,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.4,900
Cream Stone,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,400
Dakshina Mandapa,"Taj Tristar Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,4.0,700
Four Square,"Best Western Ashoka,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,3.4,1200
Hotel Shadab,"SR Nagar, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,900
Southern Mirchi,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.0,1000
Makers Of Milkshakes," Sri Nagar Colony, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,400
Hari Dosa,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.0,300
Reshmi's Classic Restaurant,"SD Road, Secunderabad", Secunderabad,Hyderabad,4.0,800
Abids Bistro,"Royalton Hotel,Abids, Central Hyderabad", Central Hyderabad,Hyderabad,4.0,600
TOS - Tales Over Spirits,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.9,1500
Ohri's Mehfill,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,4.1,1800
WOFL,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.1,600
Almond House,"Lingapur Building,Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,5.0,500
Holiday Inn Express,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,1.7,1400
Harley's Fine Baking,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,5.0,500
Vivaha Bhojanambu,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.1,1000
Shri Santosh Family Dhaba,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,2.6,600
Rayalaseema Ruchulu,"36 Square,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,3.9,1200
Platform 65,"Ratna Arcade,Kompally, Secunderabad", Secunderabad,Hyderabad,4.3,1200
Flavours Of TMH,"Taj Tristar Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,4.2,800
Salt & Pepper,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,2.8,1500
Lazeez Multicuisine Restaurant,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,4.0,1600
Tre-Forni,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,3000
The Board Game Cafe,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.2,900
Icekraft,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.3,500
Apna Rasoi,"SD Road, Secunderabad", Secunderabad,Hyderabad,3.9,600
Beijing Bites,"OM sri sai towers,Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,3.9,1100
House Of Dosas,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,300
Waffle House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.4,600
Black Pearl Multi Cuisine Restaurant,"Basheerbagh, Central Hyderabad", Central Hyderabad,Hyderabad,3.8,800
China Express,"Terminal Drive In,Sindhi Colony, Secunderabad", Secunderabad,Hyderabad,2.0,400
Huber and Holly,"Park View Enclave,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.3,1000
Ohri's Serengeti,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,1500
Frozen Bottle,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.0,300
Eagles Pizza,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,3.8,600
Flechazo,"Sun Towers,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,4.1,1300
Broadway,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.4,2600
Apsara Ice Creams,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.3,300
Barbeque Nation,"Alcazar Mall,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.4,1400
Robo Kitchen,"Alcazar Mall,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,3.4,1200
Ohri's Uppu,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.0,1600
The Dining Room,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.2,3000
Rika,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,4.6,3400
United Kitchens of India,"The Purple Leaf Hotel,Karkhana, Secunderabad", Secunderabad,Hyderabad,4.2,1000
Indian Foodies Hub,"Kimtee Square,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.8,1100
Tatva,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.4,1500
Almond House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,5.0,500
Ohri's Far East,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.8,1400
Medley,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.3,1000
Southern Spice,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,3.9,800
TiKi Shack - Rooftop Bar,"Jahnavi Trade Center,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.0,1500
Ohri's Eatmor,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,3.8,1000
Bench Cafe & Restaurant,"Abids, Central Hyderabad", Central Hyderabad,Hyderabad,3.9,500
Indulge Ice Cream,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,5.0,300
Stallion,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,4.2,1600
Almond House,"SD Road, Secunderabad", Secunderabad,Hyderabad,4.7,500
Ohri's - Sahib’s Barbeque,"Cyber Grub,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,4.1,1500
Ohri's - Out Swinger,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,3.8,1600
Petoo,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,1.0,600
Cheesiaano Pizza,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,4.2,700
Scotchman,"Royalton Hotel,Abids, Central Hyderabad", Central Hyderabad,Hyderabad,4.2,2500
Spice Garden,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,4.0,700
Amnesia Lounge and Bar,"Jaya Chambers,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,4.0,1200
