City,Name,Type,Google review rating,Place_ID,Photo_Reference
Mumbai,Essel World,Amusement Park,4.3,ChIJsWNPGBG05zsRbvTUhyCi2sQ,AdDdOWprX-GBjmAZ4YQlSsdQ-ag6e2Re2fOJcaBGq2b-ZPyweR9MJNmTQfzkec3YH4jQOVl3RtMK4qqSZly2QSyPPpvOjFv7HA_W7RaiIfcMMlW9e1lW10zVqx--kUNa6FySUm6qZ-Rl1iunaBS8CIvzdY0riqaLAWvuzPLuFEspw4U3k7lZ
Mumbai,Elephanta Caves,Monument,4.3,ChIJL2CjfTDF5zsRP_WuGhsYq_Q,AdDdOWp4xdnHSrYvkVjyw90Yw0ebcqr1278t4gNxjqVsztPs_4rEJxnRmgBbNxWUQlhckHSHmjzxdkawGp5tkyO8SXfJMYMqm8GIDf7QZm96Xbr8wElic9wuvPxYIvYEYC1aKac6qbNl2Hm6wpqe2_sd6BJmEpbSHO9vYtpNDnTFSZ0327sm
Hyderabad,Charminar,Landmark,4.5,ChIJm5MaboqXyzsR-xPxquRpWss,AdDdOWqfCsBAH_GoTRFoB_ANHbLzKkF0Tv2Q_yRt6ZF20FMu1FpW0rS8o5nfd90ArrQOp-4IFHFGEdAOTs7MUYRDrBG-t5wTmZ3n-ygDGDuu9mdiOXXjXEuxEhJAYnLYknDCKZlII8zVYbqqbNUmA67W0XCnrhEHz3lnQworiinX74SzIEE
Hyderabad,Golconda Fort,Fort,4.4,ChIJj6mupo6WyzsRWjNa1t_sdms,AdDdOWpTUXZ5vh_sw5ii_1f_Skc1ZW8KGlkdKcweKOynrtQTmQ75OV8PmuWNUpro0kF1Lh3v16pVM98Pfsv3eNbpO0ElfxD4ZcsOhi-9U_O04sSql7jx2awQAkjrMDAyBZPydvSQdUzxWcsw6I9qlzSPetnQeZ8k6QhVv3nGc0ULwFoumYJ5
Hyderabad,Hussain Sagar Lake,Lake,4.3,ChIJa5sujFWXyzsRnU6EzGNTcCU,AdDdOWr0TkH1G9iZQQbrDtz-G3jvHEZti-80TI8Grr1QLjlt3h2xMut96emX0K4ifA77W5nAKsaJ3Cuq4ibQyX1jYPGYa5o0mwfdQ3bSPidgWZo6Rt9czedRlpi-RkITqkU2P-eybFq7tfegKYvNABWkiYm_GnoAI0Uh1vsKoeuxVzD5iuGy
Hyderabad,Ramoji Film City,Film Studio,4.4,ChIJlVOHr4oJyzsRG2cIAmyERMM,AdDdOWq3XT3pj_vClhADEbRpOWT8lLON9c_pS8IcMEwyfadH0FF53D86p5AZamVwmAglFtb2pXphfYY9_oE-FBm5O5s0of6tuaxElQc786mV2efTt2Tc2RCga5SzxRBm8oUy71u6ILoWbs9mWMIspQ2SSgki3xQT1vK9wuFncWI-iPZ6XKyS
Hyderabad,Salar Jung Museum,Museum,4.4,ChIJu9dj4oeXyzsRQaBpm0uTOzU,AdDdOWrFgWd6nvtkb6mL3vNl_W8mh8DE89Hks60hxIwN1J60Ss-fcjtwwZq_HQeCoRhYbLS18UGN-IvJOH_gzulCNB5iL0AkdGALoknE_5X5de_9ZeSZLw-606uGKrR6Ox9E0pmQGGQpnxkZ7Vi3cWydkFa81_wQavLLGlewYuiR-bx0sPIe
Hyderabad,Qutb Shahi Tombs,Tombs,4.4,ChIJEadvQpeWyzsR9dHNyw6hS4A,AdDdOWqLo1eBXUGcRMrbs3H7OUn1QSg3Nwe6UGIxoa4uQj9cS7R5OaVIlwVlWRFJohNI_1s9ik5r_iRtgpFA-fpE-SjS2T-fl3KeIEx8aFgtufTqm459i1osCHcxmCKzQmaVYN0SRjAZ7MHqg6S3L-2CeeF4xlctwAoChWu85AlcnZmO0ANZ
Hyderabad,Birla Mandir,Temple,4.7,ChIJBcAk0V2XyzsRjing1vqfQ1k,AdDdOWrkG4-DQw5OcKBIo4iPWqhrbrRvqf3CLAfKmbzFncJVvftk3EJUqwQ04BcROvFjLOTjA8MNisWiPAF1p7LzGNuZCZgcV9hNLWWBGjDiboDg8pRWruVu3cn6JXmlNa8O_y1ncCaVpXYkDfbBacn9TCdiJx5uMXrSWlZb-T7LjoBk7DqJ
Hyderabad,Chowmahalla Palace,Palace,4.4,ChIJq6qq2oqXyzsR6Ovd2kXV2U0,AdDdOWrcbgmueiUoBjoPcfO7IUOGxGueackqyf0UsbGdPFI2vVLAYaD8Ut3wzJxMIosPdapNcFFHjjntmg05G5G1fhaBFh8NcAyAnETQEeR2Weag_xJ71w4ZSXJxL57fYajP0CMeMy0oEeSo_iFNoi8e7R8w6CKq8U1XQziYyLuTZicA9TNu
